"Identificació";"Imatge";"Nom";
"5";"http://botiga-teixitdelaterra.rhcloud.com/imatges/bag-o-milk.jpg";"Llet bossa nat.1L";
"6";"http://botiga-teixitdelaterra.rhcloud.com/imatges/bag-o-milk.jpg";"Llet bossa descre.1L";
"7";"http://botiga-teixitdelaterra.rhcloud.com/imatges/bag-o-milk.jpg";"Llet ampolla nat.1,5 L";
"8";"http://botiga-teixitdelaterra.rhcloud.com/imatges/bag-o-milk.jpg";"Llet ampolla descre.1,5 L";
"9";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"Iogurt 125 vidre nat.";
"10";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"Iogurt 125 vidre descre.";
"11";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"Iogurt 125 vidre maduixa";
"12";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"Iogurt 125 vidre llimona";
"13";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"Iogurt 125 plàstic Xoco";
"14";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"Iogurt 125 plàstic ensucrat";
"15";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"Iogurt 400 natural";
"16";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"Iogurt 400 descre";
"17";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"Iogurt 400 maduixa";
"18";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"Iogurt 400 llimona";
"19";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"Iogurt 700 vidre nat.";
"20";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"Iogurt 700 vidre descre.";
"21";"http://botiga-teixitdelaterra.rhcloud.com/imatges/formatge.jpg";"Formatge petit 250 g.";
"22";"http://botiga-teixitdelaterra.rhcloud.com/imatges/formatge.jpg";"Formatge gros 350 g.";
"23";"http://botiga-teixitdelaterra.rhcloud.com/imatges/mato.jpg";"Mató petit 100g.";
"24";"http://botiga-teixitdelaterra.rhcloud.com/imatges/mato.jpg";"Mató gros 250 g.";
"25";"http://botiga-teixitdelaterra.rhcloud.com/imatges/mato.jpg";"Nata (Pot 400 g.)";
"26";"http://botiga-teixitdelaterra.rhcloud.com/imatges/flam.png";"Flam d'ou (110 g.)";
"27";"http://botiga-teixitdelaterra.rhcloud.com/imatges/flam.png";"Flam Vainilla (110 g.)";
"28";"http://botiga-teixitdelaterra.rhcloud.com/imatges/flam.png";"Flam de mató";
