Nom;Preu amb impostos;Quantitat;Actiu;Categorias;Proveidor;URL imatge
Alls tendres;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/alls-tendres.jpeg
Alvocat;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/alvocat.jpeg
Col i Rave;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/col-i-rave.jpg
Enciam Fulla Roure;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/enciam-fulla-roure.jpg
Enciam Fulla Seda;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/enciam-fulla-seda.jpg
Enciam llengua Bou;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/enciam-llengua-bou.jpg
Enciam Maravilla;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/enciam-maravilla.jpg
Espinacs;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/espinacs.jpg
Faves;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/faves.jpg
Fonoll;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/fonoll.jpeg
Kiwi;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/kiwi.jpeg
Patata Blanca;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/patata-blanca.jpg
Patata Vermella;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/patata-vermella.jpg
Pèsol;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/pesol.jpeg
Poma Fuji;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/poma-fuji.jpeg
Poma Golden;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/poma-golden.jpg
Poma Royal Gala;0;999999999;1;La Feixa Verda;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/poma-royal-gala.jpg
