Nom;Preu amb impostos;Quantitat;Actiu;Categorias;Proveidor;URL imatge
Iogurt natural d'ovella - 125 gr;0,77;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt natural 125.jpg
Iogurt natural d'ovella - 340 gr;1,71;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt natural 340.jpg
Iogurt natural d'ovella - 720 gr;3,07;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt natural 720.jpg
Iogurt natural d'ovella - 2,5 Kg;8,36;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt natural 2,5Kg.jpg
Iogurt desnatat d'ovella - 125 gr.;0,77;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt desnatat 125.jpg
Iogurt desnatat d'ovella - 720 gr;3,07;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt desnatat 720.jpg
Iogurt amb melmelada maduixa - 125 gr.;1,05;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt melmelada maduixa.jpg
Iogurt amb melmelada pera - 125 gr.;1,05;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt melmelada pera.jpg
Iogurt amb melmelades nabius - 125 gr.;1,05;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt melmelada nabius.jpg
Formatge tendra d'ovella (1 peça) - per kg;0;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/formatge tendre.jpg
Formatge herbat (1 peça) - per kg;0;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/formatge herbat.jpg
Formatge semi-madurat d'ovella (1 peça) - per kg;0;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/formatge semi curat.jpg
Formatge madurat àcid d'ovella (1 peça) - per kg;0;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/formatge madurat acid.jpg
Formatge d'untar blanc (porcions) - per kg;0;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Formatge untar.jpg
Formatge d'untar amb gustos (porcions) - per kg;0;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Formatge untar.jpg
Formatge d'untar amb orenga i oli orenga - 340 gr.;4,52;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Formatge untar orenga.jpg
Formatge d'untar amb orenga i oli pebre negre - 340 gr.;4,52;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Formatge untar pebre negre.jpg
Formatge d'untar amb orenga i oli pebre vermell dolç - 340 gr.;4,52;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Formatge untar pebre vermell.jpg
Formatge d'untar amb orenga i oli fines herbes - 340 gr.;4,52;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Formatge untar fines herbes.jpg
Formatge d'untar amb orenga i oli orenga - 2,5 Kg;23,4;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Formatge untar orenga.jpg
Formatge d'untar amb orenga i oli pebre negre - 2,5 Kg;23,4;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Formatge untar pebre negre.jpg
Formatge d'untar amb orenga i oli pebre vermell dolç - 2,5 Kg;23,4;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Formatge untar pebre vermell.jpg
Formatge d'untar amb orenga i oli fines herbes - 2,5 Kg;23,4;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/Formatge untar fines herbes.jpg
Tofu - 250 gr.;2,6;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/tofu.jpg
Tofu amb algues - 250 gr.;2,6;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/tofu con algas.jpg
Hamburgueses Soja i Verdura - 2x120 gr.;3;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/hamburguesa de soja i verdura.jpg
Paté al gust mediterrani tàperes i ceba - 200 gr.;2,6;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/pate.jpg
