Nom;Preu amb impostos;Quantitat;Actiu;Categorias;Proveidor;URL imatge
L 1 - Llet de vaca 1L;1,72;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/llet de vaca.jpg
L 2 - Iogurt 125 natural - pac 4 ut;2,02;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L 3 - Iogurt Natural 1/2 Kg;2,51;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L 3 - Iogurt natural 1 KG;3,96;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L 4 - Iogurt 125 desc - pac 4 ut;2,04;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L 5 - Iogurt 125 maduixa - pac 2 ut;1,34;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L 6 - Iogurt 125 llimona - pac 2 ut;1,34;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
"L 7 - Llet civada (""avena"") 1L";1,79;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/llet de civada.jpg
L8 - Iogurt civada natural 100 gr - pac 2 ut;1,24;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L9 - Iogurt civada aranyons 100 gr - pac 2 ut;1,66;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L 10 - Iogurt civada maduixa 100 gr - pac 2 ut;1,66;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L 11 - Iogurt civada pressec 100 gr - pac 2 ut;1,66;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L 12 - Iogurt civada xocolata 100 gr - pac 2 ut;1,68;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L 13 - Llet de soja 1L;1,6;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/llet de soja.jpg
L 14 - Iogurt soja natural 100 gr - pac 2 ut;1,16;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L 15 - iogurt soja aranyons 100 gr - pac 2 ut;1,56;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L 16 - Iogurt soja maduixa 100 gr - pac 2 ut;1,56;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L 17 - Iogurt soja pressec 100 gr - pac 2 ut;1,56;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L 18 - Iogurt soja vainilla 100 gr - pac 2 ut;1,24;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L 19 - Iogurt soja xocolata 100 gr - pac 2 ut;1,24;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
Llet Ametlla 1 L.;2,15;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/llet dametlla.jpg
Beguda d'Arròs 1 L.;1,97;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/beguda darros.jpg
Llet civada + Xoco 1 L.;2,03;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/llet de civada amb xocolata.jpg
L 20 - Iogurt KEFIR 125 gr - pac 4 ut;2,6;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg
L 21 - Flam d'ou - pac 2 ut;1,83;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/flam.png
OUS ECO - 12 un;3,81;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/ous.jpg
OUS de Pagès - 12 un;2,17;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/ous.jpg
L 23 - Crema catalana;0,96;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/crema.jpg
L 24 - Crema de xocolata;1,1;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/crema de xocolata.jpg
L 25 - Flam de cafè;1,09;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/flam de cafe.png
L 26 - Flam de mató;0,91;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/flam de mato.png
L 27 - Flam de muntanya;0,87;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/flam.png
L 28 - Flam de vainilla - pac 2 ut;1,66;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/flam de vainilla.png
L 29 - Mató;0,8;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/mato.jpg
L 30 - Mouse d'aranyons;1,42;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/mousse daranyons.jpg
L 31 - Mouse de llimona;1,44;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/mousse de llimona.jpg
L 32 - Nata;1,18;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/nata.jpg
L 33 - Pastís de formatge 125 gr;1,34;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/pastis-formatge.jpg
L 34 - Pastís formatge250 gr;2,95;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/pastis-formatge.jpg
L 35 - Pastís de formatge 1 Kg;10,45;999999999;1;Vivo,Lactics;Vivo;http://botiga-teixitdelaterra.rhcloud.com/imatges/pastis-formatge.jpg
