Nom;Preu amb impostos;Quantitat;Actiu;Categorias;Proveidor;URL imatge
Llet bossa nat.1L;1,12;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/bossa_llet_nat.jpg
Llet bossa descre.1L ;1,12;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/bossa_llet_desnatada.jpg
Llet ampolla nat.1,5 L;1,78;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/ampolla_llet_nat.jpg
Llet ampolla descre.1,5 L ;1,78;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/ampolla_llet_desnatada.jpg
Iogurt 125 vidre nat.;0,62;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/iogurt_maduixa.jpg
Iogurt 125 vidre descre. ;0,62;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/iogurt_maduixa.jpg
Iogurt 125 vidre maduixa ;0,67;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/iogurt_maduixa.jpg
Iogurt 125 vidre llimona ;0,67;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/iogurt_maduixa.jpg
Iogurt 125 plastic Xoco ;0,74888;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/iogurt_maduixa.jpg
Iogurt 125 plastic ensucrat;0,62744;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/iogurt_maduixa.jpg
Iogurt 400 natural;1,84;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/iogurt_maduixa.jpg
Iogurt 400 descre ;1,84;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/iogurt_maduixa.jpg
 Iogurt 400 maduixa ;2,06;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/iogurt_maduixa.jpg
Iogurt 400 llimona ;2,06;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/iogurt_maduixa.jpg
Iogurt 700 vidre nat.;2,23;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/iogurt_maduixa.jpg
Iogurt 700 vidre descre. ;2,23;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/iogurt_maduixa.jpg
Formatge petit 250 g. ;2,44;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/formatge petit.jpg
Formatge gros 350 g. ;3,29;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/formatge gros.jpg
Mato petit 100g. ;0,95;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/mato_prat.jpg
Mato gros 250 g. ;2,25;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/mato_prat.jpg
Nata (Pot 400 g.);1,44;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/nata.jpg
Flam d'ou (110 g.) ;0,68;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/flam_ou.png
Flam Vainilla (110 g.) ;0,62;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/flam_vainilla.png
Flam de mato;0,88;999999999;1;Prat-Manel,Lactics;Prat-Manel;http://botiga-teixitdelaterra.rhcloud.com/imatges/flam_mato.png
