Nom;"Preu amb impostos";Quantitat;Actiu;Categorias;Proveidor;"URL imatge"
"Pa blat xusco 1kg";3,5;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_xuscom.jpg
"Pa blat xusco 1/2kg";2,6;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_xuscom.jpg
"Pa sègol rodó 1kg";5,5;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_rodosegol.jpg
"Pa sègol rodó 1/2kg";3,5;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_rodosegolm.jpg
"Pa espelta int 1kg";5,8;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_espeltaint.jpg
"Pa espelta int 1/2kg";3,8;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_espeltaintm.jpg
"Pa blat fruits secs 1kg";5,2;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_fruitssecs.jpg
"Pa blat fruits secs 1/2kg";4,55;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_fruitssecsm.jpg
"Pa espelta int fruits secs 1kg";7,92;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_espelfruits.jpg
"Pa espelta int fruits secs 1/2kg";5,28;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_espelfruitsm.jpg
"Pa blat sarraí 1kg";6,2;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_sarrai.jpg
"Pa blat sarraí 1/2kg";4,2;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_sarraim.jpg
"Pa blat llavors 1kg";4,2;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_llavors.jpg
"Pa blat llavors 1/2kg";2,76;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_llavorsm.jpg
"Pa espelta int llavors 1kg";6,5;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_espelllavors.jpg
"Pa espelta int llavors 1/2kg";4,2;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_espelllavorsm.jpg
"Barra blat 1/4kg";0,84;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_barra14.jpg
"Barra blat/sègol 1/4kg";1,08;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_barrasegol.jpg
"Barra espelta int 1/4kg";1,32;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_barraespelta.jpg
"Panets blat llavors 0,08kg";0,5;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_panetllavors.jpg
"Panet espelta int llavors 0,08kg";0,8;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_panetespelllavors.jpg
"Panet nous i panses 0,08kg";1,5;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_panetnous.jpg
"Panets xocolata 0,08kg";1,3;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_panetxoco.jpg
"Xapata blat 0,08kg";0,55;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_xapata.jpg
"Xapata espelta int 0,08kg";0,85;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_xapataespel.jpg
"Base pizza blat 0,2kg";0,96;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_basepizza.jpg
"Base pizza espelta int 0,2kg";1,2;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_basepizzaespel.jpg
"Pa blat xocolata 1kg";6;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_xoco.jpg
"Pa blat xocolata 1/2kg";3,2;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_xocom.jpg
"Pa blat canyella 1kg";6;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_canyella.jpg
"Pa blat canyella 1/2kg";3,2;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_canyellam.jpg
"Pa espelta int xocolata 1kg";6,36;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_espelxoco.jpg
"Pa espelta int xocolata 1/2kg";5,4;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_espelxocom.jpg
"Pa espelta int canyella 1kg";6,36;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_espelcanyella.jpg
"Pa espelta int canyella 1/2kg";5,4;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_espelcanyellam.jpg
"Pa pessic blat + fruites 1kg";14;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_papesic.jpg
"Pa pessic espelta + fruites 1kg";18;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_papesicespel.jpg
"Magdalenes espelta int 1kg";16;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_magdalena.jpg
"Rollos espelta i canyella 1kg";12;999999999;1;Niko,Fleca;Niko;http://botiga-teixitdelaterra.rhcloud.com/imatges/mm_rollo.jpg
