Nom;Preu amb impostos;Quantitat;Actiu;Categorias;Proveidor;URL imatge
Hamburguesa amb sal;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/hamb.jpeg
Hamburguesa all, julivert i pebre;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/hamb_all_juliver_pebre.jpg
Hamburguesa form.emental, ceba sofregida i orenga;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/hamb_ceba_formatge2.jpeg
Mandonguilles;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/mandongilles.jpeg
Pilotes per caldo;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/pilotes.jpg
Vedella Culati;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_culati.jpeg
Vedella culata cuixa;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_culata.jpeg
Vedella entrecot (mitjana petita);0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_entrecot.jpeg
Vedella chuleton (mitjana gran);0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_chuleton.jpeg
Vedella peixet culata;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_peixet.jpg
Vedella bistec;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_bistec.jpeg
Vedella cap de mort;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_cap_de_mort.jpg
Vedella crusto;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_rodo.jpg
Vedella rodo cuixa;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_cuixa.jpeg
Vedella culata espatlla;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_culata_espatlla.jpeg
Vedella filet de pobre;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_filet_pobre.jpg
Vedella tapaplana;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_tapaplana.jpg
Vedella jarret;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_jarret.jpg
Vedella rodo espatlla;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_rodo.jpg
Vedella llata;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_llata.jpg
Vedella peixet;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_peixet.jpg
Vedella tall-pela;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/vedella_tall_pela.jpg
Conill estofar;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/conejo_estofar.jpg
Xai 1/4 espatlla;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/xai_espatlla.jpg
Xai 1/4 cuixa;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/xai_cuixa.jpg
Xai barreja;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/xai_barreja.jpg
Xai cuixa a talls;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/xai_cuixa_talls.jpg
Xai costelles soles;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/xai_costelles.jpg
Xai costelles i mitjanes;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/xai_costelles_mitjanes.jpg
Xai espatlla sencera;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/xai_espatlla.jpg
Xai cuixa sencera;0;999999999;1;Carns Bayo,Carn;Carns Bayo;http://botiga-teixitdelaterra.rhcloud.com/imatges/xai_cuixa.jpg
