Nom;Preu amb impostos;Quantitat;Actiu;Categorias;Proveidor;URL imatge
Mel Apiferran Mil Flors - 1/2 Kg;7,00;999999999;1;Stock,Mel;Mel;http://botiga-teixitdelaterra.rhcloud.com/imatges/mel.jpg
Mel Apiferran Flors del bosc - 1/2 Kg;7,00;999999999;1;Stock,Mel;Mel;http://botiga-teixitdelaterra.rhcloud.com/imatges/mel.jpg
Müesli mel - 1 Kg;4,05;999999999;1;Stock,La Grana;La Grana;http://botiga-teixitdelaterra.rhcloud.com/imatges/muesli mel.jpg
Sucre Integral de canya - 1 Kg;2,65;999999999;1;Stock,La Grana;La Grana;http://botiga-teixitdelaterra.rhcloud.com/imatges/sucre integral canya.jpg
Cous cous integral  - 1 Kg;2,00;999999999;1;Stock,La Grana;La Grana;http://botiga-teixitdelaterra.rhcloud.com/imatges/cous cous.jpg
Cigrons - 300 gr.;0,80;999999999;1;Stock,La Grana;La Grana;http://botiga-teixitdelaterra.rhcloud.com/imatges/cigrons.jpg
Llenties  - 500 gr.;1,65;999999999;1;Stock,La Grana;La Grana;http://botiga-teixitdelaterra.rhcloud.com/imatges/llenties.jpg
Espirals integrals - 1 Kg;2,75;999999999;1;Stock,La Grana;La Grana;http://botiga-teixitdelaterra.rhcloud.com/imatges/espirales integrales.jpg
SAC Muesli - 15 kg;3,60;999999999;1;Stock,La Grana;La Grana;http://botiga-teixitdelaterra.rhcloud.com/imatges/muesli.jpg
SAC Sucre integral de canya - 25 kg;2,00;999999999;1;Stock,La Grana;La Grana;http://botiga-teixitdelaterra.rhcloud.com/imatges/sucre integral canya.jpg
SAC Quinoa - 25 kg;4,60;999999999;1;Stock,La Grana;La Grana;http://botiga-teixitdelaterra.rhcloud.com/imatges/quinoa.jpg
SAC Cous cous - 25 kg;2,40;999999999;1;Stock,La Grana;La Grana;http://botiga-teixitdelaterra.rhcloud.com/imatges/cous cous.jpg
Arros Blanc Rodo - 1 Kg;3,10;999999999;1;Stock,Riet Vell;Riet Vell;http://botiga-teixitdelaterra.rhcloud.com/imatges/arros blanc.jpg
Arros integral   - 1 Kg;2,85;999999999;1;Stock,Riet Vell;Riet Vell;http://botiga-teixitdelaterra.rhcloud.com/imatges/arros integral.jpg
Macarrons   - 1/2 Kg;1,51;999999999;1;Stock,Riet Vell;Riet Vell;http://botiga-teixitdelaterra.rhcloud.com/imatges/macarrons.jpg
Espaguetis  - 1/2 Kg;1,51;999999999;1;Stock,Riet Vell;Riet Vell;http://botiga-teixitdelaterra.rhcloud.com/imatges/spaguetis.jpg
Oliva Arbequina - 400gr.;2,19;999999999;1;Stock,Cal Valls;Cal Valls;http://botiga-teixitdelaterra.rhcloud.com/imatges/oliva arbequina.jpg
Tomaquet sencer Pelat - 660 gr.;1,73;999999999;1;Stock,Cal Valls;Cal Valls;http://botiga-teixitdelaterra.rhcloud.com/imatges/tomaquet sencer pelat.jpg
Tomaquet Pelat condimentat  - 660 gr.;1,70;999999999;1;Stock,Cal Valls;Cal Valls;http://botiga-teixitdelaterra.rhcloud.com/imatges/tomaquet pelat condimentat.jpg
Sofregit de tomaquet  - 350 gr.;1,50;999999999;1;Stock,Cal Valls;Cal Valls;http://botiga-teixitdelaterra.rhcloud.com/imatges/sofregit.jpg
Sofregit picant - 350 gr.;1,50;999999999;1;Stock,Cal Valls;Cal Valls;http://botiga-teixitdelaterra.rhcloud.com/imatges/sofregit.jpg
fesols vermells cuits - 240 gr.;1,33;999999999;1;Stock,Cal Valls;Cal Valls;http://botiga-teixitdelaterra.rhcloud.com/imatges/mongetes vermelles cuites.jpg
fesols vermells cuits - 450 gr.;2,25;999999999;1;Stock,Cal Valls;Cal Valls;http://botiga-teixitdelaterra.rhcloud.com/imatges/mongetes vermelles cuites.jpg
