Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Quantity;Minimal quantity;Default (0 = No, 1 = Yes)
72;Tallat:radio:0;Si:0;999999999;1;1
72;Tallat:radio:0;No:0;999999999;1;0
73;Tallat:radio:0;Si:0;999999999;1;1
73;Tallat:radio:0;No:0;999999999;1;0
74;Tallat:radio:0;Si:0;999999999;1;1
74;Tallat:radio:0;No:0;999999999;1;0
75;Tallat:radio:0;Si:0;999999999;1;1
75;Tallat:radio:0;No:0;999999999;1;0
76;Tallat:radio:0;Si:0;999999999;1;1
76;Tallat:radio:0;No:0;999999999;1;0
77;Tallat:radio:0;Si:0;999999999;1;1
77;Tallat:radio:0;No:0;999999999;1;0
78;Tallat:radio:0;Si:0;999999999;1;1
78;Tallat:radio:0;No:0;999999999;1;0
79;Tallat:radio:0;Si:0;999999999;1;1
79;Tallat:radio:0;No:0;999999999;1;0
80;Tallat:radio:0;Si:0;999999999;1;1
80;Tallat:radio:0;No:0;999999999;1;0
83;Tallat:radio:0;Si:0;999999999;1;1
83;Tallat:radio:0;No:0;999999999;1;0
84;Tallat:radio:0;Si:0;999999999;1;1
84;Tallat:radio:0;No:0;999999999;1;0
86;Tallat:radio:0;Si:0;999999999;1;1
86;Tallat:radio:0;No:0;999999999;1;0
88;Tallat:radio:0;Si:0;999999999;1;1
88;Tallat:radio:0;No:0;999999999;1;0
90;Tallat:radio:0;Si:0;999999999;1;1
90;Tallat:radio:0;No:0;999999999;1;0
96;Tallat:radio:0;Si:0;999999999;1;1
96;Tallat:radio:0;No:0;999999999;1;0
97;Tallat:radio:0;Si:0;999999999;1;1
97;Tallat:radio:0;No:0;999999999;1;0












































































































;;

;;
;;

;;

;;
;;

;;

;;
;;

;;

;;
;;

;;

;;
;;

;;

;;
;;

;;

;;
;;

;;

;;
;;
