nom;preu;quantitat;actiu;categories;proveidor;visibilitat
LA GRANA (granel) - Farina blanca 400 gr.;0,35;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Farina integral 400 gr.;0,3;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Farina Integral espelta 400 gr.;0,75;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Muesli 1 kg;4,8;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Muesli mel 1 kg;4,05;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Sucre Integral de canya 1 kg;3,5;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Sucre Integral de canya 600 gr.;1,55;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Sucre Demerara integral 550 gr.;1;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Cigrons 300;0,8;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Cigrons 500;1,3;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Quinoa 350;1,5;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Quinoa 500;2,3;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Quinoa 600;2,75;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Quinoa 1 kg;4,6;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Cous cous integral 1 kg;2,15;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Llenties 500 gr.;1,75;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Nous 250 Gr;5;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Nous 150 Gr;3;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Avellanes 250 gr.;3,5;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Ametlles 250 gr.;2,15;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Sal marina fina 600 gr.;1,05;999999999;1;Stock,La Grana;Stock;search
LA GRANA (granel) - Sal Castro MARIM 1 Kg.;1,75;999999999;1;Stock,La Grana;Stock;search
CAL VALLS - Olives Picual 175 gr.;1,75;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Oliva Arbequina 400gr.;2,2;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Oliva Manzanilla verda 200gr.;1,5;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Oliva negra 200 gr.;1,62;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Olives negres mortes 200 gr.;1,85;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Tomaquet sencer Pelat 660 gr.;1,73;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Tomaquet Pelat condimentat 660 gr.;1,7;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Tomaquet Triturat 670 gr.;1,35;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Sofregit de tomaquet 350 gr.;1,5;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Sofregit picant 350 gr.;1,5;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Sofregit amb xampinyons 350 gr.;1,73;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Pebrot piquillo 250 gr.;3,2;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Esparreg blanc;4,97;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Esparreg verd;4,45;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Blat de moro (demeter) 220 gr;1,6;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Cigrons cuits 220gr.;1,16;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Cigrons cuits 450gr;2,08;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Fesols vermells cuits 240gr;1,33;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Fesols vermalls cuits 450 gr;2,43;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Fesols blancs cuits 220 gr;1,13;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Fesols blancs cuits 450 gr;2;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Llenties cuites 240 gr;1,44;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Llenties cuites 450 gr;2,37;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Mermelada de Gers 370 gr.;3,4;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - mermelada de pressec 370 gr.;2,45;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - mermelada de pruna 370 gr.;2,45;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - mermelada de cirera 240 gr.;2,1;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - mermelada de maduixa 370 gr.;2,55;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Mermelada de pera 370 gr.;2,45;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Mermelada Albercoc 370 gr.;2,5;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Compota de pera 350 gr.;1,4;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Compota de poma 400 gr.;1,4;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Patates fregides 125 gr.;2;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Suc de pera 1L;2,37;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Suc de Poma 1L;2,06;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Suc de Taronja 1L;2,43;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Suc de Mandarina 1L;2,49;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - llimonada 1L;2,25;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Suc de llimona 1L;2,7;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Suc de raim 1L;2,35;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - suc de tomaquet DEM 1 L;1,9;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Concentrat de poma 400 gr.;2,15;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - vinagre de poma 0,75 L;2,6;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Espirals 0,5 kg;1,15;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Espirall Kamut 0,5 kg;3;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Macarrons Integrals Espelta 0,5 kg;1,91;999999999;1;Stock,Cal Valls;Stock;search
CAL VALLS - Sal 0,5 kg;1,15;999999999;1;Stock,Cal Valls;Stock;search
OLI - Oli 5L;26;999999999;1;Stock,Oli;Stock;search
HERBES AROMATIQUES - Tisana Hivern 75 gr.;2,45;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Tisana bon profit 50 gr.;1,36;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Tisana bona nit 35 gr.;0,82;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Tisana Bon Dia 50 gr.;1,36;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Menta 50 gr.;1,05;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Melisa 50 gr.;1,05;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Tila 50 gr.;1,83;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Herba Fresca 50 gr.;1,05;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Equinacea amb Timo 50 gr.;1,89;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Maria lluisa;1,05;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Camamilla 50 gr.;1,05;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Farigola 50 gr.;1,2;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Menta Poleo 50 gr.;1,02;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Farigola Condiment;1,2;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Orenga Condiment 60 gr.;0,63;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Alfabrega Condiment;1,2;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Romani Condiment 100 gr.;1,05;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Te de Roca 50 gr.;1,36;999999999;1;Stock,Herbes;Stock;search
HERBES AROMATIQUES - Te verd amb menta;2,6;999999999;1;Stock,Herbes;Stock;search
COMERC JUST - Xocolata Negra 62 %;1,85;999999999;1;Stock,Comerc Just;Stock;search
COMERC JUST - Xocolata Negra 73 %;1,98;999999999;1;Stock,Comerc Just;Stock;search
COMERC JUST - Xocolata negra amb ametlles;2,88;999999999;1;Stock,Comerc Just;Stock;search
COMERC JUST - Xocolata amb llet i avellanes;2,1;999999999;1;Stock,Comerc Just;Stock;search
COMERC JUST - Xocalata Llet;1,75;999999999;1;Stock,Comerc Just;Stock;search
COMERC JUST - Xocalata negra amb moka;2;999999999;1;Stock,Comerc Just;Stock;search
COMERC JUST - Xocalatines de Moka;0,53;999999999;1;Stock,Comerc Just;Stock;search
