Nom;"Preu amb impostos";Quantitat;Actiu;Categorias;Proveidor;"URL imatge"
"Tomàquet cor de bou";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/cor_de_bou.jpg
"Tomàquet Pare Benet";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/tomaquet_pare_benet.jpg
"Tomàquet Pometa Lluís Vila";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/tomaquet_pometa.jpg
"Tomàquet rosa plè de l'Etern";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/rosa_ple_etern.jpg
"Tomàquet Ligúria";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/tomate-liguria.jpg
"Cogombre del país";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/cogombre.jpg
"Pebrot verd italià";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/pebrot_verd.jpg
"Pebrot vermell quatre morros";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/pebrot_vermell.jpg
"Albergínia negra";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/alberginia.jpg
"Albergínia blanca";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/alberginia_blanca.jpg
"Carbassa del cel";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/carabassa.jpg
"Carbassa cacahuet";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/carabassa_cacahuet.jpg
"Carbassó d'Alforja";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/carabasso.jpg
"Carbassó del país";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/carabasso_pais.jpg
"Mongeta tendra llaminera";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/mongeta_llaminera.jpg
"Ceba tendra babosa";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/ceba-tendra.jpg
"Ceba seca Figueres";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/ceba-seca.jpg
"All sec";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/alls-secs.jpg
"Enciam full de roure";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/enciam-fulla-roure.jpg
"Enciam meravella";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/enciam_maravella.jpg
"Enciam Nano d'Alforja";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/nano_dalforja.jpg
"Enciam orella de ruc";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/enciam_orella_ruc.jpg
"Enciam vermell del Pallars";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/enciam_vermell.jpg
"Porro de l'etern Verdaguer";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/porro_etern.jpg
"Porro del país";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/porro.jpg
"Espinac gegant d'hivern";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/espinac_gegant.jpg
"Espinac de primavera";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/espinacs_primavera.jpg
"Bleda del país";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/bleda_del_pais.jpg
"Bleda de colors";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/bleda_de_colors.jpg
Remolatxa;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/remolatxa.jpg
"Pastanaga nantesa";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/pastanaga.jpg
"Patata blanca";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/patata_blanca.jpg
"Patata vermella";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/patata_vermella.jpg
Calçot;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/calcot.jpg
"Nap blanc";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/nap_blanc.jpg
"Nap negre de Bruguera";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/nap_negre.jpg
Nyàmera;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/nyameres.jpg
"Escarola cabell d'àngel";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/escarola_cabell_dangel.jpg
"Api del país";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/api.jpg
Api-rave;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/api_rave.jpg
"Pèsol de la floreta";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/pesol.jpg
Estirabec;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/estirabec.jpg
"Cigró menut";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/cigro_menut.jpg
