Nom;"Preu amb impostos";Quantitat;Actiu;Categorias;Proveidor;"URL imatge"
"Ceba tendra babosa [1 manat]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/ceba-tendra.jpg
"Ceba seca Figueres [1/2 Kg]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/ceba-seca.jpg
"All sec [1/2 Kg]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/alls-secs.jpg
"Enciam full de roure";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/enciam-fulla-roure.jpg
"Enciam meravella";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/enciam_maravella.jpg
"Porro del país [1 manat]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/porro.jpg
"Espinac de primavera [1 manat]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/espinacs_primavera.jpg
"Bleda del país [1 manat]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/bleda_del_pais.jpg
"Bleda de colors [1 manat]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/bleda_de_colors.jpg
"Pastanaga nantesa [1 manat]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/pastanaga.jpg
"Patata blanca [1 Kg]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/patata_blanca.jpg
"Patata vermella [1 Kg]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/patata_vermella.jpg
"Patata [1 Kg]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/patata_vermella.jpg
"Nyàmera [1/2 Kg]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/nyameres.jpg
"Pèsol de la floreta [1/2 Kg]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/pesol.jpg
Coliflor;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/col_i_flor.jpg
Fava [1/2 Kg];0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/faves.jpg
"All tendre [1 manat]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/alls-tendres.jpg
Ravenet [1 manat];0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/rabes.jpg
Taronja [1/2 Kg];0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/taronja.jpg
Poma fuji [1/2 Kg];0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/poma_fuji.jpg
Pera conference [1/2 Kg];0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/pera.jpg
Plàtan [1/2 Kg];0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/platan-canari.jpg
Llimona [1/2 Kg];0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/llimona.jpg
"Maduixot del Baix Llobregat [1/4 Kg]";0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/maduixot.jpg
"Col milà";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/col_mila.jpg
