Nom;Preu amb impostos;Quantitat;Actiu;Categorias;Proveidor;URL imatge
Gispert Pansa sultana ECO 125gr.;1.13;999999999;1;La Cleda,Lactics;La Cleda;
Capell Melmelada d'albercoc 400gr. Lleida;1.79;999999999;1;La Cleda,Lactics;La Cleda;
Capell Melmelada de maduixa 400gr. Lleida;1.81;999999999;1;La Cleda,Lactics;La Cleda;
Capell Melmelada de préssec 400gr. Lleida;1.55;999999999;1;La Cleda,Lactics;La Cleda;
Capell Melmelada de pruna 400gr. Lleida;1.60;999999999;1;La Cleda,Lactics;La Cleda;
Capell Melmelada de taronja 400gr. Lleida;1.58;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Ametlla llargueta crua ECO 150gr. Catalunya;2.87;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Ametlla llargueta torrada ECO 150gr. Catalunya;2.94;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Ametlla marcona crua ECO 150gr. Catalunya;3.42;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Ametlla marcona salada ECO 150gr. Catalunya;3.51;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Anacard cru ECO 150gr.	Índia;2.50;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Cacauet cru repelat ECO 150gr.	Catalunya;1.37;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Cacauet salat ECO 150gr. Xina;0.95;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Còctel salat 150gr. Varis;0.85;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Deshidratat de mango ECO 150gr. Tailàndia;1.42;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Deshidratat de meló ECO 150gr.;1.53;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Deshidratat de nabius ECO 150gr. França;1.35;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Festuc extra salat ECO 150gr. Catalunya;2.99;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Figa pajarera ECO 150gr. Extremadura;1.18;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Llavor de carbassa ECO 150gr. Catalunya;1.76;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Llavor de gira-sol pelada ECO 150gr. Catalunya;1.15;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Nou de macadàmia crua ECO 150gr. Austràlia;5.10;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Nou del Brasil ECO 150gr. Brasil;2.59;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Nou país pelada ECO 150gr.	Catalunya;3.44;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Nou país pelada ECO 500gr.	Catalunya;9.80;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Orellana albercoc ECO 150gr. Turquia;2.83;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Pansa sultana ECO 150gr. Turquia;0.89;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Pinyó país ECO 150gr. Catalunya;8.27;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Pruna sense pinyol ECO 150gr. Aragó;1.39;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Tomàquet sec ECO 250gr. Catalunya;1.97;999999999;1;La Cleda,Lactics;La Cleda;
Can Galderic Patates casolanes 150gr. Santa Eulàlia de Ronçana;1.46;999999999;1;La Cleda,Lactics;La Cleda;
Vermouth Negre Mussons 75 cl. Sabadell;5.85;999999999;1;La Cleda,Lactics;La Cleda;
Casanovas Fuet ECO Terrassa;4.96;999999999;1;La Cleda,Lactics;La Cleda;

